customer_id,customer_name,join_date,loyalty_tier,points_earned_total,points_redeemed_total,points_balance,total_spent_jd,visits_2026_until_0617
C0001,Yousef Saleh,2024-03-11,Bronze,674,0,674,68.21,18
C0002,Maya Khalil,2024-08-08,Bronze,833,0,833,84.18,22
C0003,Sara Hijazi,2024-12-08,Bronze,545,0,545,54.86,8
C0004,Tala Qasem,2024-02-14,Bronze,464,0,464,46.84,10
C0005,Zaid Sabbagh,2024-04-20,Bronze,1154,200,954,116.07,15
C0006,Jana Bitar,2024-02-13,Bronze,430,0,430,43.3,11
C0007,Noor Saleh,2024-09-27,Bronze,699,0,699,70.35,13
C0008,Tala Mansour,2024-07-22,Bronze,554,0,554,55.84,10
C0009,Omar Bitar,2024-07-02,Bronze,363,0,363,36.54,7
C0010,Rami Hussein,2024-07-20,Bronze,664,0,664,67.16,16
C0011,Malak Khalil,2025-02-05,Bronze,669,0,669,67.33,15
C0012,Maya Alami,2025-02-06,Bronze,428,0,428,43.21,12
C0013,Leen Saleh,2025-03-17,Bronze,534,0,534,53.69,8
C0014,Zaid Saleh,2024-08-09,Bronze,669,0,669,67.38,14
C0015,Rama Nasser,2024-12-21,Bronze,899,0,899,90.45,13
C0016,Lana Mansour,2024-12-16,Bronze,768,0,768,77.32,15
C0017,Faris Mansour,2024-11-25,Bronze,501,0,501,50.66,12
C0018,Ahmad Tamimi,2025-04-27,Bronze,533,0,533,53.6,10
C0019,Salma Saleh,2025-01-05,Bronze,223,0,223,22.53,8
C0020,Dana Khalil,2025-04-25,Bronze,380,0,380,38.49,11
C0021,Zaid Haddad,2024-08-21,Bronze,448,0,448,45.33,13
C0022,Lana Haddad,2024-11-04,Bronze,323,0,323,32.58,6
C0023,Dana Sabbagh,2024-08-15,Bronze,493,0,493,49.47,6
C0024,Sara Alami,2024-07-23,Bronze,347,0,347,34.93,10
C0025,Dana Masri,2024-03-18,Bronze,681,200,481,68.44,10
C0026,Jana Saleh,2024-04-10,Bronze,185,0,185,18.76,7
C0027,Leen Masri,2025-05-22,Bronze,557,0,557,56.32,14
C0028,Ahmad Hijazi,2024-07-28,Bronze,434,0,434,43.71,9
C0029,Kareem Khalil,2024-11-07,Bronze,355,0,355,35.71,10
C0030,Rami Hussein,2024-03-22,Bronze,525,0,525,52.74,8
C0031,Omar Alami,2024-06-17,Bronze,384,0,384,38.71,10
C0032,Sara Sabbagh,2024-05-31,Bronze,765,0,765,76.97,13
C0033,Nour Sabbagh,2024-10-27,Bronze,888,0,888,89.36,15
C0034,Dana Nasser,2024-08-02,Bronze,375,0,375,37.85,10
C0035,Lana Hussein,2025-03-02,Bronze,858,100,758,86.46,12
C0036,Dana Sawalha,2024-11-30,Bronze,477,0,477,48.12,13
C0037,Nour Saleh,2025-06-01,Bronze,629,0,629,63.47,12
C0038,Omar Sawalha,2024-10-25,Bronze,418,0,418,42.11,9
C0039,Maya Bitar,2024-02-05,Bronze,405,0,405,40.81,10
C0040,Zaid Hussein,2024-08-29,Bronze,575,0,575,57.94,12
C0041,Jana Bitar,2025-01-05,Bronze,619,0,619,62.35,12
C0042,Faris Sabbagh,2024-04-27,Bronze,790,150,640,79.46,12
C0043,Malak Mansour,2025-02-14,Bronze,249,0,249,25.31,8
C0044,Noor Hijazi,2025-03-21,Bronze,492,0,492,49.75,10
C0045,Sara Hijazi,2024-03-08,Bronze,481,0,481,48.62,12
C0046,Sara Mansour,2024-02-01,Bronze,718,200,518,72.21,13
C0047,Kareem Qasem,2024-04-26,Bronze,453,0,453,45.7,12
C0048,Nour Tamimi,2025-03-29,Bronze,877,100,777,88.34,16
C0049,Ahmad Saleh,2025-03-31,Bronze,851,0,851,85.7,12
C0050,Noor Haddad,2024-07-30,Bronze,555,0,555,55.89,12
C0051,Salma Qasem,2025-04-13,Bronze,355,0,355,35.98,12
C0052,Ahmad Sawalha,2024-09-05,Bronze,1173,0,1173,117.57,12
C0053,Nour Abu Rumman,2024-06-03,Bronze,930,0,930,93.76,14
C0054,Rama Sawalha,2024-03-15,Bronze,622,0,622,62.68,10
C0055,Faris Tamimi,2024-11-09,Bronze,112,0,112,11.43,5
C0056,Noor Haddad,2025-01-29,Bronze,907,150,757,91.31,12
C0057,Omar Masri,2024-05-25,Bronze,1052,0,1052,105.88,17
C0058,Jana Bitar,2025-03-18,Bronze,181,0,181,18.59,8
C0059,Hala Haddad,2024-12-22,Bronze,690,0,690,69.57,12
C0060,Nour Sawalha,2024-02-04,Bronze,1157,350,807,116.74,22
C0061,Jana Tamimi,2025-03-28,Bronze,602,0,602,60.44,7
C0062,Faris Qasem,2024-07-31,Bronze,251,0,251,25.32,6
C0063,Sara Khalil,2024-07-14,Bronze,572,0,572,57.57,9
C0064,Dana Mansour,2025-05-26,Bronze,856,0,856,85.97,13
C0065,Sara Sabbagh,2024-05-29,Bronze,483,0,483,48.88,10
C0066,Leen Hijazi,2024-03-08,Bronze,389,0,389,39.55,11
C0067,Kareem Sawalha,2024-07-11,Bronze,607,0,607,61.66,17
C0068,Rami Hijazi,2024-09-03,Bronze,491,0,491,49.49,10
C0069,Zaid Bitar,2025-04-05,Bronze,581,0,581,58.5,10
C0070,Tala Saleh,2024-03-11,Bronze,585,0,585,58.78,11
C0071,Maya Nasser,2024-03-08,Bronze,500,0,500,50.45,13
C0072,Sara Hijazi,2024-03-01,Bronze,338,0,338,34.13,8
C0073,Yousef Tamimi,2024-10-19,Bronze,601,0,601,60.66,13
C0074,Salma Mansour,2024-02-02,Bronze,555,0,555,56.12,13
C0075,Zaid Tamimi,2024-03-26,Bronze,588,200,388,59.11,11
C0076,Malak Bitar,2025-03-04,Bronze,674,0,674,68.1,18
C0077,Malak Khalil,2024-11-06,Bronze,890,0,890,89.81,18
C0078,Omar Qasem,2024-05-27,Bronze,429,0,429,43.34,9
C0079,Kareem Hijazi,2024-03-03,Bronze,1017,0,1017,102.06,11
C0080,Omar Nasser,2025-01-14,Bronze,365,0,365,37.02,12
C0081,Maya Khalil,2024-10-07,Bronze,585,0,585,58.97,10
C0082,Leen Sabbagh,2024-11-02,Bronze,616,0,616,61.86,11
C0083,Rama Abu Rumman,2024-03-04,Bronze,1627,100,1527,163.24,17
C0084,Rama Qasem,2025-05-19,Bronze,661,0,661,66.6,13
C0085,Kareem Hijazi,2024-05-14,Bronze,644,0,644,65.01,15
C0086,Ahmad Nasser,2025-05-06,Bronze,1022,150,872,103.11,20
C0087,Leen Tamimi,2024-12-02,Bronze,772,0,772,77.63,12
C0088,Yousef Hussein,2024-11-22,Bronze,254,0,254,25.72,8
C0089,Sara Masri,2024-10-21,Bronze,422,0,422,42.49,8
C0090,Noor Bitar,2024-07-02,Bronze,326,0,326,33,9
C0091,Leen Masri,2024-07-27,Bronze,573,0,573,57.69,10
C0092,Lana Qasem,2024-10-04,Bronze,414,0,414,41.69,13
C0093,Maya Saleh,2024-03-20,Bronze,914,0,914,91.97,12
C0094,Ahmad Hijazi,2025-04-13,Bronze,889,200,689,89.34,11
C0095,Zaid Darwish,2024-12-30,Bronze,942,0,942,94.66,10
C0096,Nour Hussein,2024-10-27,Bronze,576,0,576,58.04,9
C0097,Rama Sabbagh,2024-03-08,Bronze,721,0,721,72.7,16
C0098,Hala Sabbagh,2024-07-27,Bronze,807,0,807,81.09,12
C0099,Nour Nasser,2024-02-23,Bronze,484,0,484,49.02,16
C0100,Ahmad Masri,2024-08-29,Bronze,335,0,335,33.99,10
C0101,Salma Mansour,2025-01-26,Bronze,525,0,525,52.97,11
C0102,Omar Hijazi,2024-07-23,Bronze,243,0,243,24.73,10
C0103,Zaid Darwish,2025-02-13,Bronze,399,0,399,40.18,7
C0104,Dana Masri,2025-01-14,Bronze,480,0,480,48.53,12
C0105,Nour Qasem,2024-03-25,Bronze,503,0,503,50.5,8
C0106,Faris Darwish,2024-09-16,Bronze,349,0,349,35.28,6
C0107,Nour Alami,2025-01-15,Bronze,544,0,544,54.88,12
C0108,Rama Bitar,2024-11-16,Bronze,1760,100,1660,176.73,17
C0109,Leen Haddad,2024-07-07,Bronze,627,0,627,63,10
C0110,Salma Hijazi,2025-02-05,Bronze,613,0,613,61.81,14
C0111,Kareem Qasem,2025-05-19,Bronze,294,0,294,29.64,8
C0112,Leen Hijazi,2024-02-19,Bronze,616,0,616,62.06,15
C0113,Omar Abu Rumman,2024-08-04,Bronze,799,100,699,80.72,15
C0114,Faris Khalil,2024-01-19,Bronze,497,0,497,49.89,9
C0115,Malak Hijazi,2025-03-29,Bronze,1089,0,1089,109.41,12
C0116,Maya Masri,2025-03-15,Bronze,305,0,305,30.94,10
C0117,Dana Khalil,2024-11-10,Bronze,644,0,644,64.85,13
C0118,Jana Darwish,2024-04-03,Bronze,730,0,730,73.54,12
C0119,Ahmad Hussein,2024-09-09,Bronze,1178,250,928,118.4,15
C0120,Rami Mansour,2024-12-02,Bronze,389,0,389,39.07,8
C0121,Nour Nasser,2024-11-18,Bronze,1191,100,1091,119.68,15
C0122,Lana Bitar,2024-06-15,Bronze,552,0,552,55.65,10
C0123,Nour Tamimi,2025-03-09,Bronze,586,0,586,59.12,14
C0124,Hala Sawalha,2024-06-06,Bronze,971,100,871,97.92,13
C0125,Maya Darwish,2024-02-11,Bronze,747,0,747,75.22,14
C0126,Omar Sawalha,2024-05-19,Bronze,126,0,126,12.83,7
C0127,Malak Qasem,2024-01-29,Bronze,406,0,406,40.78,10
C0128,Hala Khalil,2024-04-14,Bronze,509,0,509,51.21,7
C0129,Hala Mansour,2024-03-25,Bronze,273,0,273,27.55,8
C0130,Tala Sawalha,2024-05-26,Bronze,580,0,580,58.74,16
C0131,Yousef Hijazi,2025-02-14,Bronze,982,150,832,98.8,19
C0132,Maya Darwish,2025-02-26,Bronze,475,0,475,47.98,14
C0133,Faris Haddad,2025-06-04,Bronze,657,100,557,66.48,20
C0134,Nour Nasser,2024-05-02,Bronze,551,0,551,55.73,14
C0135,Sara Masri,2025-01-22,Bronze,536,0,536,54.07,13
C0136,Sara Hijazi,2024-06-09,Bronze,750,0,750,75.68,14
C0137,Ahmad Mansour,2024-08-20,Bronze,507,0,507,51.12,12
C0138,Jana Hussein,2024-12-12,Bronze,648,100,548,65.17,13
C0139,Rami Hijazi,2025-04-18,Bronze,1351,0,1351,135.83,17
C0140,Nour Saleh,2024-01-02,Bronze,839,0,839,84.61,17
C0141,Rami Abu Rumman,2024-02-19,Bronze,470,0,470,47.68,14
C0142,Leen Hijazi,2024-09-25,Bronze,661,100,561,66.55,13
C0143,Hala Haddad,2025-05-17,Bronze,411,0,411,41.4,11
C0144,Tala Khalil,2024-02-20,Bronze,270,0,270,27.44,11
C0145,Faris Mansour,2024-01-16,Bronze,762,0,762,76.68,13
C0146,Leen Masri,2025-03-20,Bronze,1112,100,1012,111.64,15
C0147,Dana Tamimi,2025-01-07,Bronze,635,0,635,63.84,15
C0148,Omar Sawalha,2024-07-25,Bronze,612,0,612,61.63,9
C0149,Rami Hussein,2024-12-22,Bronze,256,0,256,25.85,5
C0150,Sara Sawalha,2024-04-15,Bronze,368,0,368,37.23,9
